"event-id","visible","timestamp","location-long","location-lat","algorithm-marked-outlier","argos:altitude","argos:best-level","argos:calcul-freq","argos:error-radius","argos:gdop","argos:iq","argos:lat1","argos:lat2","argos:lc","argos:lon1","argos:lon2","argos:nb-mes","argos:nb-mes-120","argos:nopc","argos:orientation","argos:pass-duration","argos:semi-major","argos:semi-minor","argos:sensor-1","argos:sensor-2","argos:sensor-3","argos:sensor-4","argos:valid-location-algorithm","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","ETOPO1 Elevation","NASA Distance to Coast","ECMWF Interim Full Daily SFC Sea Ice Cover","OSU Ocean NPP 0.083deg 8d NPP","NOAA Climate Indexes South Atlantic SST Index"
"1482669818","true","2016-05-01 06:44:07.000","-62.13017000000002","-64.49075","","0.0","-120.0","4.0167757717E8","980.0","449","46","-64.49075","-64.49075","1","-62.13017000000002","-62.13017000000002","6","0","3","98.0","454.0","4646.0","206.0","188","81","225","60","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-373.42947099993773","6.2859628738983675","NaN","NaN","NaN"
"1482669819","true","2016-05-01 06:48:46.000","-62.137189999999975","-64.46987","","0.0","-127.0","4.01677581E8","327.0","239","56","-64.46987","-64.46987","2","-62.137189999999975","-62.137189999999975","6","0","3","93.0","443.0","992.0","107.0","62","90","193","59","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-577.8209747599481","7.995156815705618","NaN","NaN","NaN"
"1482669820","true","2016-05-01 07:12:12.000","-62.10027000000002","-64.47492","","0.0","-124.0","4.0167758483E8","935.0","557","56","-64.47492","-64.47492","1","-62.10027000000002","-62.10027000000002","4","0","3","108.0","240.0","3825.0","228.0","214","29","129","60","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-433.2098224000092","7.374199289937828","NaN","NaN","NaN"
"1482669821","true","2016-05-01 07:43:00.000","-61.99243000000001","-64.45446","","0.0","-120.0","4.0167757609E8","336.0","252","58","-64.45446","-64.45446","2","-61.99243000000001","-61.99243000000001","4","0","3","103.0","340.0","999.0","113.0","191","221","113","59","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-485.3816446399946","7.725909819431082","NaN","NaN","NaN"
"1482669826","true","2016-05-01 11:03:51.000","-61.71300000000002","-64.40231","","0.0","-130.0","4.0167757717E8","384.0","467","58","-64.40231","-64.40231","2","-61.71300000000002","-61.71300000000002","4","0","3","95.0","362.0","537.0","274.0","189","22","65","66","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-375.86177199999946","6.260373875711832","NaN","NaN","NaN"
"1482669832","true","2016-05-01 15:05:53.000","-61.64265999999998","-64.39458","","0.0","-125.0","4.0167757776E8","446.0","524","58","-64.39458","-64.39458","2","-61.64265999999998","-61.64265999999998","4","0","3","114.0","455.0","756.0","263.0","214","253","113","60","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-286.04661919992407","2.868286419860946","NaN","NaN","NaN"
"1482669833","true","2016-05-01 16:27:05.000","-61.60459000000003","-64.35983","","0.0","-127.0","4.0167758148E8","1121.0","999","58","-64.35983","-64.35983","1","-61.60459000000003","-61.60459000000003","4","0","3","100.0","411.0","10874.0","115.0","186","195","161","58","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","42.36779607987613","1.2819432171128755","NaN","NaN","NaN"
"1482669834","true","2016-05-01 17:39:09.000","-61.62594999999999","-64.33033","","0.0","-126.0","4.016775772E8","1191.0","938","58","-64.33033","-64.33033","1","-61.62594999999999","-61.62594999999999","4","0","3","126.0","380.0","5292.0","268.0","176","123","1","98","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-212.77348559992524","2.867465060140735","NaN","NaN","NaN"
"1482669840","true","2016-05-01 22:13:52.000","-61.634090000000015","-64.30843","","0.0","-131.0","4.0167757539E8","421.0","850","58","-64.30843","-64.30843","2","-61.634090000000015","-61.634090000000015","4","0","3","112.0","689.0","1821.0","97.0","182","21","161","60","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-347.89822008005433","5.3193939905592345","NaN","NaN","NaN"
"1482669844","true","2016-05-01 23:43:23.000","-61.702470000000005","-64.3243","","0.0","-124.0","4.0167758112E8","841.0","924","58","-64.3243","-64.3243","1","-61.702470000000005","-61.702470000000005","4","0","3","169.0","432.0","1300.0","543.0","0","1","67","122","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-591.571514800046","5.952253746148655","NaN","NaN","NaN"
"1482669846","true","2016-05-02 00:18:29.000","-61.663400000000024","-64.32391","","0.0","-133.0","4.0167757663E8","1422.0","1021","56","-64.32391","-64.32391","1","-61.663400000000024","-61.663400000000024","4","0","3","70.0","399.0","11401.0","177.0","176","1","193","67","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-423.48785520010307","4.541124796161792","NaN","NaN","NaN"
"1482669849","true","2016-05-02 00:43:04.000","-61.62682000000001","-64.31342","","0.0","-125.0","4.016775761E8","145.0","251","66","-64.31342","-64.31342","3","-61.62682000000001","-61.62682000000001","6","0","3","73.0","687.0","350.0","60.0","185","65","177","66","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-285.72942272004127","4.669335223159395","NaN","NaN","NaN"
"1482669853","true","2016-05-02 03:06:11.000","-61.56491","-64.26185","","0.0","-116.0","4.0167757654E8","650.0","1193","57","-64.26185","-64.26185","1","-61.56491","-61.56491","4","2","3","83.0","500.0","13238.0","31.0","177","249","129","61","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-448.0767089999903","9.477479363380978","NaN","NaN","NaN"
"1482669855","true","2016-05-02 03:38:58.000","-61.60494","-64.26171","","0.0","-122.0","4.0167757754E8","184.0","385","56","-64.26171","-64.26171","3","-61.60494","-61.60494","4","0","3","126.0","452.0","290.0","117.0","214","96","209","61","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-462.43884807998325","9.840971533685988","NaN","NaN","NaN"
"1482669860","true","2016-05-02 06:24:58.000","-61.512310000000014","-64.13364","","0.0","-119.0","4.0167757556E8","750.0","491","58","-64.13364","-64.13364","1","-61.512310000000014","-61.512310000000014","4","1","2","86.0","369.0","2658.0","211.0","215","187","193","60","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-333.25075119999656","5.9934714956899615","NaN","NaN","NaN"
"1482669861","true","2016-05-02 06:36:32.000","-61.49662000000001","-64.12482","","0.0","-127.0","4.0167757682E8","146.0","290","66","-64.12482","-64.12482","3","-61.49662000000001","-61.49662000000001","4","0","3","95.0","512.0","370.0","57.0","178","102","129","59","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-356.20351215999335","6.477665291965225","NaN","NaN","NaN"
"1482669877","true","2016-05-02 17:31:58.000","-61.59044","-63.98884","","0.0","-130.0","4.0167757608E8","573.0","306","56","-63.98884","-63.98884","1","-61.59044","-61.59044","7","0","3","77.0","473.0","1364.0","240.0","221","84","209","61","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-379.75895807992913","7.785464569623224","NaN","NaN","NaN"
"1482669878","true","2016-05-02 20:23:48.000","-61.49651","-64.07142","","0.0","-131.0","4.0167757738E8","308.0","581","58","-64.07142","-64.07142","2","-61.49651","-61.49651","4","0","3","69.0","611.0","912.0","103.0","223","140","193","60","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-422.2455164800123","6.537425488143756","NaN","NaN","NaN"
"1482669879","true","2016-05-02 20:48:48.000","-61.55014","-64.08996","","0.0","-117.0","4.0167757537E8","702.0","886","56","-64.08996","-64.08996","1","-61.55014","-61.55014","4","2","3","101.0","230.0","11301.0","43.0","214","29","129","60","1","argos-doppler-shift","Megaptera novaeangliae","131132","131132","Antarctic Humpback overlap with krill fisheries ","-252.11277727999556","3.6261400938133335","NaN","NaN","NaN"
