"","x","y","Animal","Month","Year"
"145",-60.95821,-62.52648,131127,"May",2016
"146",-60.96321,-62.5174,131127,"May",2016
"147",-60.94338,-62.52421,131127,"May",2016
"148",-60.93174,-62.53646,131127,"May",2016
"149",-60.94355,-62.53747,131127,"May",2016
"150",-60.92821,-62.54995,131127,"May",2016
"151",-60.92407,-62.54913,131127,"May",2016
"152",-60.89218,-62.5504,131127,"May",2016
"153",-60.88792,-62.54622,131127,"May",2016
"154",-60.88798,-62.54486,131127,"May",2016
"155",-60.87533,-62.53806,131127,"May",2016
"156",-60.85813,-62.48298,131127,"May",2016
"157",-60.87869,-62.4735,131127,"May",2016
"158",-60.86877,-62.46737,131127,"May",2016
"159",-60.83894,-62.44775,131127,"May",2016
"160",-60.92878,-62.45815,131127,"May",2016
"161",-60.92956,-62.44325,131127,"May",2016
"162",-60.88225,-62.54216,131127,"May",2016
"163",-60.88718,-62.52306,131127,"May",2016
"164",-60.93028,-62.50947,131127,"May",2016
"165",-60.95561,-62.53578,131127,"May",2016
"166",-61.00859,-62.52809,131127,"May",2016
"167",-60.99149,-62.54715,131127,"May",2016
"168",-61.04076,-62.57796,131127,"May",2016
"169",-61.08128,-62.56249,131127,"May",2016
"170",-61.09336,-62.55954,131127,"May",2016
"171",-61.15599,-62.54902,131127,"May",2016
"172",-61.13764,-62.57198,131127,"May",2016
"173",-61.18206,-62.54375,131127,"May",2016
"174",-61.19832,-62.54056,131127,"May",2016
"175",-61.18905,-62.544,131127,"May",2016
"176",-61.22775,-62.53612,131127,"May",2016
"177",-61.22976,-62.52761,131127,"May",2016
"178",-61.10368,-62.54521,131127,"May",2016
"179",-61.06934,-62.51767,131127,"May",2016
"180",-61.06706,-62.55158,131127,"May",2016
"181",-61.04686,-62.54661,131127,"May",2016
"182",-60.99789,-62.52254,131127,"May",2016
"183",-60.94569,-62.554,131127,"May",2016
"184",-60.93578,-62.54452,131127,"May",2016
"185",-60.94043,-62.54547,131127,"May",2016
"186",-60.94199,-62.54013,131127,"May",2016
"187",-60.91779,-62.51769,131127,"May",2016
"188",-60.91863,-62.51402,131127,"May",2016
"189",-60.87567,-62.48855,131127,"May",2016
"190",-60.87531,-62.4889,131127,"May",2016
"191",-60.89834,-62.4873,131127,"May",2016
"192",-60.96461,-62.5225,131127,"May",2016
"193",-60.92343,-62.53031,131127,"May",2016
"194",-60.96486,-62.54918,131127,"May",2016
"195",-60.95698,-62.53109,131127,"May",2016
"196",-60.95879,-62.53377,131127,"May",2016
"197",-60.95612,-62.53394,131127,"May",2016
"198",-60.94768,-62.53158,131127,"May",2016
"199",-60.94868,-62.53934,131127,"May",2016
"200",-60.95928,-62.53105,131127,"May",2016
"201",-60.95259,-62.53894,131127,"May",2016
"202",-60.95654,-62.53623,131127,"May",2016
"203",-60.89089,-62.56415,131127,"May",2016
"204",-60.9339,-62.54105,131127,"May",2016
"205",-60.99151,-62.53708,131127,"May",2016
"206",-61.01028,-62.54557,131127,"May",2016
"207",-60.99176,-62.53672,131127,"May",2016
"208",-61.06267,-62.53254,131127,"May",2016
"209",-61.07617,-62.53184,131127,"May",2016
"210",-61.07949,-62.52916,131127,"May",2016
"211",-61.08918,-62.5382,131127,"May",2016
"212",-61.11211,-62.56145,131127,"May",2016
"213",-61.09943,-62.56866,131127,"May",2016
"214",-61.14024,-62.57491,131127,"May",2016
"215",-61.12413,-62.56923,131127,"May",2016
"216",-61.12705,-62.56438,131127,"May",2016
"217",-61.06687,-62.5734,131127,"May",2016
"218",-61.02877,-62.5751,131127,"May",2016
"219",-60.96465,-62.49285,131127,"May",2016
"220",-61.14331,-62.56095,131127,"May",2016
"221",-61.16132,-62.54536,131127,"May",2016
"222",-60.94573,-62.49462,131127,"May",2016
"223",-60.90187,-62.50479,131127,"May",2016
"224",-60.90957,-62.50091,131127,"May",2016
"225",-60.91923,-62.49604,131127,"May",2016
"226",-60.94076,-62.51412,131127,"May",2016
"227",-60.9635,-62.53072,131127,"May",2016
"228",-60.98266,-62.53479,131127,"May",2016
"229",-60.96246,-62.56684,131127,"May",2016
"230",-60.97161,-62.57654,131127,"May",2016
"231",-61.00233,-62.55691,131127,"May",2016
"232",-61.05672,-62.55349,131127,"May",2016
"233",-61.05625,-62.5533,131127,"May",2016
"234",-61.08359,-62.56245,131127,"May",2016
"235",-61.05361,-62.55216,131127,"May",2016
"236",-61.12542,-62.56568,131127,"May",2016
"237",-61.08496,-62.55699,131127,"May",2016
"238",-61.11772,-62.5666,131127,"May",2016
"239",-61.37703,-62.55964,131127,"May",2016
"240",-61.37715,-62.55777,131127,"May",2016
"241",-61.39118,-62.55765,131127,"May",2016
"242",-61.44095,-62.55981,131127,"May",2016
"243",-61.43983,-62.56035,131127,"May",2016
"244",-61.46732,-62.56234,131127,"May",2016
"245",-61.35784,-62.58555,131127,"May",2016
"246",-61.3297,-62.55376,131127,"May",2016
"247",-61.33159,-62.56011,131127,"May",2016
"248",-61.46928,-62.5605,131127,"May",2016
"249",-61.37597,-62.55737,131127,"May",2016
"250",-61.3654,-62.58104,131127,"May",2016
"251",-61.37587,-62.58303,131127,"May",2016
"252",-61.37774,-62.58433,131127,"May",2016
"253",-61.42182,-62.5929,131127,"May",2016
"254",-61.36336,-62.63064,131127,"May",2016
"255",-61.44094,-62.60954,131127,"May",2016
"256",-61.34276,-62.59972,131127,"May",2016
"257",-61.19841,-62.5983,131127,"May",2016
"258",-61.17753,-62.60537,131127,"May",2016
"259",-61.17792,-62.60584,131127,"May",2016
"260",-61.17922,-62.6066,131127,"May",2016
"261",-61.18072,-62.58473,131127,"May",2016
"262",-61.17821,-62.57991,131127,"May",2016
"263",-61.1894,-62.57564,131127,"May",2016
"264",-61.1222,-62.53311,131127,"May",2016
"265",-60.98791,-62.59034,131127,"May",2016
"266",-61.00956,-62.5669,131127,"May",2016
"267",-60.98384,-62.58537,131127,"May",2016
"268",-60.9122,-62.53569,131127,"May",2016
"269",-60.96278,-62.53461,131127,"May",2016
"270",-60.98618,-62.53018,131127,"May",2016
"271",-60.99016,-62.52827,131127,"May",2016
"272",-60.97551,-62.52804,131127,"May",2016
"273",-60.97214,-62.52482,131127,"May",2016
"274",-60.9962,-62.52882,131127,"May",2016
"275",-61.0158,-62.53964,131127,"May",2016
"276",-61.00193,-62.53187,131127,"May",2016
"277",-60.9906,-62.54079,131127,"May",2016
"278",-61.00103,-62.5505,131127,"May",2016
"279",-61.00231,-62.54999,131127,"May",2016
"280",-60.99746,-62.55227,131127,"May",2016
"281",-60.9977,-62.55639,131127,"May",2016
"282",-60.92805,-62.51178,131127,"May",2016
"283",-60.92446,-62.50642,131127,"May",2016
"284",-60.9862,-62.51503,131127,"May",2016
"285",-60.97787,-62.51333,131127,"May",2016
"286",-60.9706,-62.50412,131127,"May",2016
"287",-60.96938,-62.50548,131127,"May",2016
"288",-60.96562,-62.50371,131127,"May",2016
"289",-60.95162,-62.49112,131127,"May",2016
"290",-60.94577,-62.49888,131127,"May",2016
"291",-60.94032,-62.49571,131127,"May",2016
"292",-60.94524,-62.49746,131127,"May",2016
"293",-61.0175,-62.51816,131127,"May",2016
"294",-60.96679,-62.52584,131127,"May",2016
"295",-60.93688,-62.51128,131127,"May",2016
"296",-60.92441,-62.50837,131127,"May",2016
"297",-60.99884,-62.53329,131127,"May",2016
"298",-61.01449,-62.52515,131127,"May",2016
"299",-61.0265,-62.51997,131127,"May",2016
"300",-61.0323,-62.52188,131127,"May",2016
"301",-61.07054,-62.48743,131127,"May",2016
"302",-61.07701,-62.48383,131127,"May",2016
"303",-60.95349,-62.47333,131127,"May",2016
"304",-60.95248,-62.47315,131127,"May",2016
"305",-61.02982,-62.47815,131127,"May",2016
"306",-61.0543,-62.49031,131127,"May",2016
"307",-61.0599,-62.49181,131127,"May",2016
"308",-61.07568,-62.489,131127,"May",2016
"309",-61.10957,-62.49517,131127,"May",2016
"310",-61.13948,-62.50547,131127,"May",2016
"311",-61.14873,-62.51656,131127,"May",2016
"312",-61.15497,-62.56778,131127,"May",2016
"313",-61.17814,-62.56492,131127,"May",2016
"314",-61.19559,-62.56552,131127,"May",2016
"315",-61.17008,-62.56631,131127,"May",2016
"316",-61.18234,-62.55691,131127,"May",2016
"317",-61.13433,-62.55615,131127,"May",2016
"318",-61.18926,-62.53381,131127,"May",2016
"319",-61.20157,-62.5468,131127,"May",2016
"320",-61.20207,-62.54614,131127,"May",2016
"321",-61.13572,-62.56036,131127,"May",2016
"322",-61.18285,-62.56236,131127,"May",2016
"323",-61.12348,-62.56411,131127,"May",2016
"324",-61.12366,-62.56422,131127,"May",2016
"325",-61.1279,-62.56989,131127,"May",2016
"326",-61.13288,-62.56271,131127,"May",2016
"327",-61.13172,-62.56247,131127,"May",2016
"328",-61.13404,-62.56281,131127,"May",2016
"329",-61.13278,-62.56303,131127,"May",2016
"330",-61.17944,-62.55383,131127,"May",2016
"331",-61.1946,-62.55779,131127,"May",2016
"332",-61.17652,-62.56263,131127,"May",2016
"333",-61.17733,-62.56284,131127,"May",2016
"334",-61.17347,-62.56221,131127,"May",2016
"335",-61.19122,-62.56674,131127,"May",2016
"336",-61.18293,-62.56232,131127,"May",2016
"337",-61.17789,-62.56165,131127,"May",2016
"338",-61.19192,-62.5613,131127,"May",2016
"339",-61.09332,-62.57294,131127,"May",2016
"340",-61.10553,-62.57046,131127,"May",2016
"341",-61.1046,-62.57216,131127,"May",2016
"342",-61.09967,-62.57539,131127,"May",2016
"343",-61.06619,-62.56766,131127,"May",2016
"344",-61.04819,-62.56435,131127,"May",2016
"345",-61.055,-62.56535,131127,"May",2016
"346",-61.0633,-62.56543,131127,"May",2016
"347",-61.04769,-62.56046,131127,"May",2016
"348",-61.03836,-62.56048,131127,"May",2016
"349",-61.03482,-62.56446,131127,"May",2016
"350",-61.07212,-62.56589,131127,"May",2016
"351",-61.05981,-62.56856,131127,"May",2016
"352",-61.03918,-62.56705,131127,"May",2016
"353",-61.04918,-62.56909,131127,"May",2016
"354",-61.05212,-62.55927,131127,"May",2016
"355",-61.05301,-62.559,131127,"May",2016
"356",-61.06201,-62.57161,131127,"May",2016
"357",-61.06198,-62.57088,131127,"May",2016
"358",-61.05839,-62.56941,131127,"May",2016
"359",-61.08778,-62.56515,131127,"May",2016
"360",-61.12842,-62.55583,131127,"May",2016
"361",-61.13184,-62.54844,131127,"May",2016
"362",-61.1537,-62.55251,131127,"May",2016
"363",-61.14953,-62.55122,131127,"May",2016
"364",-61.14175,-62.54944,131127,"May",2016
"365",-61.10029,-62.5325,131127,"May",2016
"366",-61.10148,-62.56042,131127,"May",2016
"367",-61.10494,-62.56747,131127,"May",2016
"368",-61.09898,-62.56044,131127,"May",2016
"369",-61.08922,-62.55728,131127,"May",2016
"370",-61.11737,-62.56152,131127,"May",2016
"371",-61.11504,-62.56299,131127,"May",2016
"372",-61.11498,-62.56144,131127,"May",2016
"373",-61.11452,-62.56342,131127,"May",2016
"374",-61.1075,-62.56069,131127,"May",2016
"375",-61.15905,-62.56355,131127,"May",2016
"376",-61.09671,-62.57486,131127,"May",2016
"377",-61.10993,-62.57207,131127,"May",2016
"378",-61.08462,-62.57018,131127,"May",2016
"379",-61.12045,-62.56295,131127,"May",2016
"380",-61.12937,-62.57084,131127,"May",2016
"381",-61.13474,-62.56742,131127,"May",2016
"382",-61.14672,-62.56392,131127,"May",2016
"383",-61.15809,-62.5598,131127,"May",2016
"384",-61.15178,-62.56248,131127,"May",2016
"385",-61.15507,-62.557,131127,"May",2016
"386",-61.11842,-62.55803,131127,"May",2016
"387",-61.1809,-62.54116,131127,"May",2016
"388",-61.14906,-62.5596,131127,"May",2016
"389",-61.14753,-62.5565,131127,"May",2016
"390",-61.1334,-62.56457,131127,"May",2016
"391",-61.11928,-62.57421,131127,"May",2016
"392",-61.13614,-62.56356,131127,"May",2016
"393",-61.11159,-62.56833,131127,"May",2016
"394",-61.13385,-62.56982,131127,"May",2016
"395",-61.1411,-62.56731,131127,"May",2016
"396",-61.11338,-62.56217,131127,"May",2016
"397",-61.13639,-62.56432,131127,"May",2016
"398",-61.08581,-62.57177,131127,"May",2016
"399",-61.11954,-62.56436,131127,"May",2016
"400",-61.16263,-62.55641,131127,"May",2016
"401",-61.15796,-62.56799,131127,"May",2016
"402",-61.16832,-62.58835,131127,"May",2016
"403",-61.12118,-62.58593,131127,"May",2016
"404",-61.16278,-62.55885,131127,"May",2016
"405",-61.18886,-62.56432,131127,"May",2016
"406",-61.11531,-62.57213,131127,"May",2016
"407",-61.22735,-62.55682,131127,"May",2016
"408",-61.13719,-62.56035,131127,"May",2016
"409",-61.19771,-62.5644,131127,"May",2016
"410",-61.20842,-62.57316,131127,"May",2016
"411",-61.20924,-62.56411,131127,"May",2016
"412",-61.17864,-62.58471,131127,"May",2016
"413",-61.28168,-62.53256,131127,"May",2016
"414",-61.28639,-62.53916,131127,"May",2016
"415",-61.26158,-62.54607,131127,"May",2016
"416",-61.30333,-62.5448,131127,"May",2016
"417",-61.32127,-62.54886,131127,"May",2016
"418",-61.26201,-62.57589,131127,"May",2016
"419",-61.23728,-62.56256,131127,"May",2016
"420",-61.28666,-62.59723,131127,"May",2016
"421",-61.23721,-62.58445,131127,"May",2016
"422",-61.23808,-62.58371,131127,"May",2016
"423",-61.25868,-62.59175,131127,"May",2016
"424",-61.2643,-62.57293,131127,"May",2016
"425",-61.3011,-62.57347,131127,"May",2016
"426",-61.29686,-62.57236,131127,"May",2016
"427",-61.3011,-62.53615,131127,"May",2016
"428",-61.31124,-62.53347,131127,"May",2016
"429",-61.31036,-62.52254,131127,"May",2016
"430",-61.31052,-62.52097,131127,"May",2016
"431",-61.31948,-62.5178,131127,"May",2016
"432",-61.31981,-62.51771,131127,"May",2016
"433",-61.27792,-62.49878,131127,"May",2016
