"","long","lat","order","piece","id","group"
"1",-45.5233493905114,-60.2566446480593,1,"1","0","0.1"
"2",-45.6160599083992,-60.301777665035,2,"1","0","0.1"
"3",-45.9191047837142,-60.1469394568312,3,"1","0","0.1"
"4",-46.548157698978,-60.4459986232934,4,"1","0","0.1"
"5",-46.8476102659946,-60.2886328337709,5,"1","0","0.1"
"6",-47.1669146831867,-60.4360827565538,6,"1","0","0.1"
"7",-47.4628166759169,-60.2771367203967,7,"1","0","0.1"
"8",-47.7851664221144,-60.4228676794893,8,"1","0","0.1"
"9",-48.0774553994244,-60.2623636920213,9,"1","0","0.1"
"10",-49.063365992933,-60.6918384849852,10,"1","0","0.1"
"11",-49.3510779515739,-60.5279541646548,11,"1","0","0.1"
"12",-50.7105931374996,-61.0846908485238,12,"1","0","0.1"
"13",-50.992527447879,-60.9165277521072,13,"1","0","0.1"
"14",-53.130102354156,-61.7176652789214,14,"1","0","0.1"
"15",-53.4033710905608,-61.5434104900439,15,"1","0","0.1"
"16",-54.5160202049682,-61.9273761526219,16,"1","0","0.1"
"17",-54.7824070318073,-61.7498780676756,17,"1","0","0.1"
"18",-55.5391837286282,-61.9985644576497,18,"1","0","0.1"
"19",-55.7995158697315,-61.8187996936556,19,"1","0","0.1"
"20",-58.5479389880005,-62.6461976238323,20,"1","0","0.1"
"21",-58.2985703304943,-62.8322933218186,21,"1","0","0.1"
"22",-58.7069610040798,-62.94648795798,22,"1","0","0.1"
"23",-58.2010871757056,-63.3193990142907,23,"1","0","0.1"
"24",-72.3498757800699,-68.9193910241266,1,"1","1","1.1"
"25",-72.5360731081572,-68.7065116419607,2,"1","1","1.1"
"26",-71.3721368235449,-68.5682462629379,3,"1","1","1.1"
"27",-71.9395280638008,-67.9335761714458,4,"1","1","1.1"
"28",-72.5042421228136,-68.0015669001997,5,"1","1","1.1"
"29",-72.8544490811383,-67.5766585052637,6,"1","1","1.1"
"30",-73.4126614430726,-67.6411903671072,7,"1","1","1.1"
"31",-73.5778125016847,-67.4279949934645,8,"1","1","1.1"
"32",-74.1342921972262,-67.4898068296072,9,"1","1","1.1"
"33",-74.2913621709843,-67.275945771205,10,"1","1","1.1"
"34",-76.5268418872689,-67.4999392898198,11,"1","1","1.1"
"35",-76.3902681041878,-67.7161681511118,12,"1","1","1.1"
"36",-81.0273733851036,-68.065156149828,13,"1","1","1.1"
"37",-81.1193408494798,-67.8451865409712,14,"1","1","1.1"
"38",-82.2881075873411,-67.9094314355527,15,"1","1","1.1"
"39",-82.3666694127687,-67.6888714694397,16,"1","1","1.1"
"40",-83.5301800148268,-67.7435016110144,17,"1","1","1.1"
"41",-83.463366351203,-67.9646620332271,18,"1","1","1.1"
"42",-84.6441749571448,-68.0108037244386,19,"1","1","1.1"
"43",-84.6990734834743,-67.7891394775824,20,"1","1","1.1"
"44",-87.6386253418244,-67.8635213539683,21,"1","1","1.1"
"45",-87.6140559696112,-68.0860110852488,22,"1","1","1.1"
"46",-90,-68.1045670697331,23,"1","1","1.1"
"47",-90,-68.3274226342031,24,"1","1","1.1"
"48",-90.9639522539545,-68.3244249337732,25,"1","1","1.1"
