"","long","lat","order","piece","id","group"
"1",-46.1262240428588,-59.9468349628047,1,"1","0","0.1"
"2",-46.531607792011,-60.1404063253425,2,"1","0","0.1"
"3",-46.827968244305,-59.983302628772,3,"1","0","0.1"
"4",-47.4628166759169,-60.2771367203967,4,"1","0","0.1"
"5",-47.7554247005028,-60.1175536279748,5,"1","0","0.1"
"6",-48.7313969991605,-60.549522271386,6,"1","0","0.1"
"7",-49.0195824878375,-60.386561964861,7,"1","0","0.1"
"8",-51.0589877239783,-61.2215828860873,8,"1","0","0.1"
"9",-51.3401917459099,-61.0524911080671,9,"1","0","0.1"
"10",-53.8705558567591,-61.9765704275008,10,"1","0","0.1"
"11",-54.1416402235249,-61.8004596964102,11,"1","0","0.1"
"12",-55.2753581648781,-62.1779009644202,12,"1","0","0.1"
"13",-55.5391837286282,-61.9985644576497,13,"1","0","0.1"
"14",-57.0947570770121,-62.4821921456334,14,"1","0","0.1"
"15",-69.9180225158192,-67.4324841158695,1,"1","1","1.1"
"16",-70.3079787612635,-67.014725231685,2,"1","1","1.1"
"17",-70.8443875545603,-67.0885511865241,3,"1","1","1.1"
"18",-71.0295921915135,-66.8787789154904,4,"1","1","1.1"
"19",-72.6459753637387,-67.0863436225139,5,"1","1","1.1"
"20",-72.4744316262771,-67.2982355848247,6,"1","1","1.1"
"21",-74.6938610259101,-67.5495482036553,7,"1","1","1.1"
"22",-74.5387822595581,-67.7640259236332,8,"1","1","1.1"
"23",-82.1260618682744,-68.3509034567881,9,"1","1","1.1"
"24",-82.2079219217816,-68.1301096997741,10,"1","1","1.1"
"25",-85.1864491062935,-68.2524701962343,11,"1","1","1.1"
"26",-85.2363583092738,-68.030446106415,12,"1","1","1.1"
"27",-87.0185387800178,-68.0755809016765,13,"1","1","1.1"
"28",-87.0492208909937,-67.8532059723888,14,"1","1","1.1"
"29",-88.8188110866734,-67.8772834050973,15,"1","1","1.1"
"30",-88.8308606720926,-67.6548021304213,16,"1","1","1.1"
"31",-90,-67.6593414103947,17,"1","1","1.1"
"32",-90,-67.8818728430199,18,"1","1","1.1"
"33",-90.9440805848638,-67.8789411917356,19,"1","1","1.1"
