"","long","lat","order","piece","id","group"
"1",-76.7594800848128,-70.0438932310877,1,"1","0","0.1"
"2",-77.1957339347132,-69.3894614149661,2,"1","0","0.1"
"3",-76.5781649321138,-69.3387177639403,3,"1","0","0.1"
"4",-76.723602957684,-69.1211882182264,4,"1","0","0.1"
"5",-76.1153323147418,-69.068712481543,5,"1","0","0.1"
"6",-76.4090515521587,-68.6348732577751,6,"1","0","0.1"
"7",-78.2065703150895,-68.7820157085319,7,"1","0","0.1"
"8",-78.3312259996311,-68.5634958342719,8,"1","0","0.1"
"9",-80.1341930569156,-68.6885774365032,9,"1","0","0.1"
"10",-80.2382252249578,-68.4687273722587,10,"1","0","0.1"
"11",-81.4391104288354,-68.5397608988467,11,"1","0","0.1"
"12",-81.5288553669852,-68.3192109124576,12,"1","0","0.1"
"13",-82.7249950421107,-68.3802936801769,13,"1","0","0.1"
"14",-82.8007663616324,-68.1591751156816,14,"1","0","0.1"
"15",-85.1864491062935,-68.2524701962343,15,"1","0","0.1"
"16",-85.2363583092738,-68.030446106415,16,"1","0","0.1"
"17",-87.6140559696112,-68.0860110852488,17,"1","0","0.1"
"18",-87.5889702533888,-68.3086579775029,18,"1","0","0.1"
"19",-88.79395122078,-68.3227298054221,19,"1","0","0.1"
"20",-88.7811247648687,-68.545691946806,20,"1","0","0.1"
"21",-90.6095065766752,-68.5492514344956,21,"1","0","0.1"
"22",-90.6227556872063,-68.9957285540684,22,"1","0","0.1"
"23",-90.9953792552833,-68.9938406893421,23,"1","0","0.1"
"24",-91.0901553964401,-70.785643667892,1,"1","5","5.1"
"25",-90.6820603931726,-70.7877223504047,2,"1","5","5.1"
"26",-90.6740368979845,-70.5632065830894,3,"1","5","5.1"
"27",-87.3057157101439,-70.5434135520871,4,"1","5","5.1"
"28",-87.2736890060937,-70.7676811090038,5,"1","5","5.1"
"29",-85.9143832200251,-70.7409942609617,6,"1","5","5.1"
"30",-85.8653286262636,-70.9650614935857,7,"1","5","5.1"
"31",-81.098283967108,-70.7863855698517,8,"1","5","5.1"
"32",-80.9914962579748,-71.0083201821875,9,"1","5","5.1"
"33",-79.6336773965495,-70.9326864766408,10,"1","5","5.1"
"34",-79.5085229876684,-71.1537389509145,11,"1","5","5.1"
"35",-78.8261617581853,-71.1114849527386,12,"1","5","5.1"
"36",-78.6900675259798,-71.332047762561,13,"1","5","5.1"
"37",-75.2916961003173,-71.0788415353425,14,"1","5","5.1"
"38",-75.1137331509824,-71.2962405713053,15,"1","5","5.1"
"39",-73.3007557660064,-70.8963348608171,16,"1","5","5.1"
"40",-42.3051050085631,-61.761231365017,1,"1","6","6.1"
"41",-43.025065989118,-62.129180508868,2,"1","6","6.1"
"42",-44.0289780689208,-61.6794135043739,3,"1","6","6.1"
"43",-43.307399507069,-61.3181424694074,4,"1","6","6.1"
"44",-45.5233493905114,-60.2566446480593,5,"2","6","6.2"
"45",-46.2453642667683,-60.6026921637078,6,"2","6","6.2"
"46",-45.9391909457356,-60.7586982223932,7,"2","6","6.2"
"47",-46.2590452071753,-60.9089492368744,8,"2","6","6.2"
"48",-45.9495668564358,-61.0651965326262,9,"2","6","6.2"
"49",-46.6000247151477,-61.3652409890385,10,"2","6","6.2"
"50",-47.2147551273192,-61.0482574137739,11,"2","6","6.2"
"51",-46.8881880067409,-60.9005313721972,12,"2","6","6.2"
"52",-48.0774553994244,-60.2623636920213,13,"2","6","6.2"
"53",-48.4027697710618,-60.4063585890428,14,"2","6","6.2"
"54",-48.9767309750776,-60.0816838373071,15,"2","6","6.2"
"55",-49.304468960508,-60.223011143601,16,"2","6","6.2"
"56",-49.5860988961709,-60.0588840006752,17,"2","6","6.2"
"57",-49.91656600601,-60.198446883278,18,"2","6","6.2"
"58",-50.1944289077348,-60.032852109353,19,"2","6","6.2"
"59",-50.5275401516562,-60.1706362020648,20,"2","6","6.2"
"60",-50.801586887647,-60.0035981048115,21,"2","6","6.2"
"61",-54.3047723406433,-61.320685783427,22,"2","6","6.2"
"62",-54.0394828033551,-61.496806579732,23,"2","6","6.2"
"63",-56.7005794628158,-62.3630500644412,24,"2","6","6.2"
"64",-56.4410438687674,-62.5451377797722,25,"2","6","6.2"
"65",-56.8367753678627,-62.6651941886541,26,"2","6","6.2"
"66",-55.0079798014413,-75.9822466781527,1,"1","7","7.1"
"67",-55.7842978675626,-76.1114532599403,2,"1","7","7.1"
"68",-56.8214883406073,-75.7329642794774,3,"1","7","7.1"
"69",-55.304846468766,-75.4791458944046,4,"1","7","7.1"
"70",-54.2461127455633,-75.8505736026126,5,"1","7","7.1"
"71",-53.4985588794937,-75.7165062092624,6,"1","7","7.1"
