"","long","lat","order","piece","id","group"
"38",-22.4794343971031,-68.5160545732814,10,"1","1","1.1"
"39",-22.2490236572124,-68.3098302486681,11,"1","1","1.1"
"40",-24.4439547804165,-67.9565981207409,12,"1","1","1.1"
"41",-24.6915581634781,-68.1591751156816,13,"1","1","1.1"
"42",-25.7693276243387,-67.9692714360054,14,"1","1","1.1"
"43",-26.0295921915135,-68.1696490352571,15,"1","1","1.1"
"44",-28.6571174565581,-67.6582064953817,16,"1","1","1.1"
"45",-28.3792430861079,-67.4628114434064,17,"1","1","1.1"
"46",-29.3890114663204,-67.2481173548528,18,"1","1","1.1"
"47",-29.1098555568911,-67.0543602973721,19,"1","1","1.1"
"48",-29.6044507460049,-66.9455449859951,20,"1","1","1.1"
"49",-29.3271794904568,-66.752398895338,21,"1","1","1.1"
"50",-29.8141627377987,-66.642977406405,22,"1","1","1.1"
"51",-29.5387822595581,-66.4504357237912,23,"1","1","1.1"
"52",-30.0183674276091,-66.3404313356113,24,"1","1","1.1"
"53",-29.7448812969422,-66.1484876997209,25,"1","1","1.1"
"54",-30.6851730895951,-65.9258336448747,26,"1","1","1.1"
"55",-30.4110812671254,-65.7354672870104,27,"1","1","1.1"
"56",-33.111341960372,-65.0382740997107,28,"1","1","1.1"
"57",-33.0265394258027,-64.9831877536968,29,"1","1","1.1"
"58",-74.6871816391937,-70.095296854325,1,"1","11","11.1"
"59",-75.9637565320735,-70.2088916688718,2,"1","11","11.1"
"60",-75.8014459761368,-70.4264173106537,3,"1","11","11.1"
"61",-76.4520610119995,-70.4802207917048,4,"1","11","11.1"
"62",-76.2930389959202,-70.6983776615163,5,"1","11","11.1"
"63",-76.9543629370514,-70.7503301416558,6,"1","11","11.1"
"64",-77.1062559551178,-70.5315481136675,7,"1","11","11.1"
"65",-77.7638884905837,-70.5803780799266,8,"1","11","11.1"
"66",-77.4711922908485,-71.0191513578484,9,"1","11","11.1"
"67",-78.146995832256,-71.0666157868214,10,"1","11","11.1"
"68",-78.0031006920764,-71.2866126861769,11,"1","11","11.1"
"69",-78.6900675259798,-71.332047762561,12,"1","11","11.1"
"70",-78.5506620115,-71.5526387862598,13,"1","11","11.1"
"71",-79.9506514118751,-71.6366160958547,14,"1","11","11.1"
"72",-79.8244891569568,-71.858318920123,15,"1","11","11.1"
"73",-80.5376777919744,-71.8967377428995,16,"1","11","11.1"
"74",-80.4170552764674,-72.1189907277854,17,"1","11","11.1"
"75",-79.695153531234,-72.0800647795524,18,"1","11","11.1"
"76",-79.5625246488818,-72.3018486326816,19,"1","11","11.1"
